,Price,Age,KM,FuelType,HP,MetColor,Automatic,CC,Doors,Weight
0,13500,23.0,46986.0,Diesel,90.0,1.0,0,2000,three,1165
1,13750,23.0,72937.0,Diesel,90.0,1.0,0,2000,3,1165
2,13950,24.0,41711.0,Diesel,90.0,68647.23997185081,0,2000,3,1165
3,14950,26.0,48000.0,Diesel,90.0,0.0,0,2000,3,1165
4,13750,30.0,38500.0,Diesel,90.0,0.0,0,2000,3,1170
5,12950,32.0,61000.0,Diesel,90.0,0.0,0,2000,3,1170
6,16900,27.0,68647.23997185081,Diesel,110.0,68647.23997185081,0,2000,3,1245
7,18600,30.0,75889.0,Petrol,90.0,1.0,0,2000,3,1245
8,21500,27.0,19700.0,Petrol,192.0,0.0,0,1800,3,1185
9,12950,23.0,71138.0,Diesel,110.0,68647.23997185081,0,1900,3,1105
10,20950,25.0,31461.0,Petrol,192.0,0.0,0,1800,3,1185
11,19950,22.0,43610.0,Petrol,192.0,0.0,0,1800,3,1185
12,19600,25.0,32189.0,Petrol,192.0,0.0,0,1800,3,1185
13,21500,31.0,23000.0,Petrol,192.0,1.0,0,1800,3,1185
14,22500,32.0,34131.0,Petrol,192.0,1.0,0,1800,3,1185
15,22000,28.0,18739.0,Petrol,110.0,0.0,0,1800,3,1185
16,22750,30.0,34000.0,Petrol,192.0,1.0,0,1800,3,1185
17,17950,24.0,21716.0,Petrol,110.0,1.0,0,1600,3,1105
18,16750,24.0,25563.0,Petrol,110.0,0.0,0,1600,3,1065
19,16950,30.0,64359.0,Petrol,110.0,1.0,0,1600,3,1105
20,15950,30.0,67660.0,Petrol,110.0,1.0,0,1600,3,1105
21,16950,29.0,43905.0,Petrol,110.0,0.0,1,1600,3,1170
22,15950,28.0,56349.0,Petrol,110.0,1.0,0,1600,3,1120
23,16950,28.0,32220.0,Petrol,110.0,1.0,0,1600,3,1120
24,16250,29.0,25813.0,Petrol,110.0,1.0,0,1600,3,1120
25,15950,25.0,28450.0,Petrol,110.0,1.0,0,1600,3,1120
26,17495,27.0,34545.0,Petrol,110.0,1.0,0,1600,3,1120
27,15750,29.0,41415.0,Petrol,110.0,1.0,0,1600,3,1120
28,16950,28.0,44142.0,Petrol,110.0,0.0,0,1600,3,1120
29,17950,30.0,11090.0,Petrol,110.0,68647.23997185081,0,1600,3,1120
30,12950,29.0,9750.0,Petrol,97.0,1.0,0,1400,3,1100
31,15750,22.0,35199.0,Petrol,97.0,1.0,0,1400,3,1100
32,15950,27.0,29510.0,Petrol,97.0,1.0,0,1400,3,1100
33,14950,55.67215568862275,32692.0,Petrol,97.0,1.0,0,1400,3,1100
34,15500,22.0,41000.0,Petrol,97.0,1.0,0,1400,3,1100
35,15750,26.0,43000.0,Petrol,97.0,0.0,0,1400,3,1100
36,15950,25.0,25000.0,Petrol,97.0,0.0,0,1400,3,1100
37,14950,23.0,10000.0,Petrol,97.0,1.0,0,1400,3,1100
38,15750,32.0,25329.0,Petrol,97.0,1.0,0,1400,3,1100
39,14750,27.0,27500.0,Petrol,97.0,0.0,0,1400,3,1100
40,13950,22.0,49059.0,Petrol,97.0,0.0,0,1400,3,1100
41,16750,27.0,44068.0,Petrol,97.0,1.0,0,1400,3,1100
42,13950,22.0,46961.0,Petrol,97.0,0.0,0,1400,3,1100
43,16950,27.0,110404.0,Diesel,90.0,68647.23997185081,0,2000,5,1255
44,16950,22.0,100250.0,Petrol,90.0,0.0,0,2000,5,1255
45,19000,23.0,84000.0,Diesel,90.0,68647.23997185081,0,2000,5,1270
46,17950,27.0,79375.0,Diesel,90.0,1.0,0,2000,5,1255
47,15800,22.0,75048.0,Petrol,97.0,1.0,0,1400,5,1110
48,17950,22.0,72215.0,Diesel,90.0,1.0,0,2000,5,1255
49,21950,31.0,64982.0,Petrol,192.0,68647.23997185081,0,1800,5,1195
50,17950,22.0,62636.0,Diesel,90.0,1.0,0,2000,5,1255
51,15750,30.0,57086.0,Petrol,97.0,1.0,0,1400,5,1110
52,20500,26.0,56000.0,Petrol,110.0,1.0,1,1600,5,1180
53,21950,27.0,49866.0,Petrol,192.0,1.0,0,1800,5,1195
54,15500,25.0,49163.0,Petrol,110.0,0.0,1,1600,5,1165
55,13250,55.67215568862275,45725.0,Petrol,110.0,1.0,0,1600,5,1075
56,15250,28.0,43210.0,Petrol,97.0,0.0,0,1400,5,1110
57,15250,26.0,43000.0,Petrol,97.0,0.0,0,1400,5,1110
58,18950,23.0,39704.0,Petrol,110.0,1.0,1,1600,5,1180
59,15999,30.0,38950.0,Petrol,110.0,1.0,0,1600,5,1130
60,14950,22.0,37400.0,Petrol,97.0,1.0,0,1400,5,1110
61,16500,27.0,37177.0,Petrol,110.0,68647.23997185081,0,1600,5,1130
62,18750,31.0,36544.0,Petrol,110.0,1.0,0,1600,5,1130
63,17950,30.0,33511.0,Petrol,110.0,1.0,0,1600,5,1130
64,17950,27.0,68647.23997185081,Petrol,97.0,1.0,0,1400,5,1110
65,16950,26.0,32181.0,Petrol,110.0,1.0,0,1600,5,1075
66,18950,28.0,30993.0,Petrol,110.0,1.0,0,1600,5,1130
67,14950,22.0,30400.0,Petrol,97.0,1.0,0,1400,5,1110
68,22250,22.0,30000.0,Diesel,110.0,1.0,0,2000,5,1275
69,15950,25.0,29719.0,Petrol,97.0,68647.23997185081,0,1400,5,1110
70,15950,28.0,29206.0,Petrol,97.0,1.0,0,1400,5,1110
71,12995,32.0,29198.0,Petrol,97.0,1.0,0,1400,5,1060
72,18950,28.0,28817.0,Petrol,110.0,1.0,0,1598,5,1130
73,15750,23.0,28227.0,Petrol,97.0,1.0,0,1400,5,1110
74,19950,28.0,28000.0,Petrol,110.0,0.0,0,1600,5,1130
75,16950,23.0,28000.0,Petrol,110.0,1.0,0,1600,5,1115
76,18750,31.0,25266.0,Petrol,110.0,1.0,0,1600,5,1130
77,18450,27.0,23489.0,Petrol,110.0,0.0,0,1600,5,1115
78,16895,29.0,22575.0,Petrol,110.0,1.0,0,1600,5,1115
79,14900,30.0,22000.0,Petrol,97.0,1.0,0,1400,5,1110
80,18950,25.0,20019.0,Petrol,110.0,1.0,1,1600,5,1180
81,17250,29.0,20000.0,Petrol,110.0,1.0,0,1600,5,1115
82,15450,25.0,17003.0,Petrol,97.0,1.0,0,1400,5,1110
83,17950,55.67215568862275,16238.0,Petrol,110.0,1.0,1,1600,5,1180
84,16650,25.0,15414.0,Petrol,97.0,1.0,0,1400,5,1110
85,17450,28.0,8537.0,Petrol,110.0,1.0,0,1600,5,1130
86,14900,30.0,7000.0,Petrol,97.0,1.0,0,1400,5,1100
87,17950,20.0,66966.0,Diesel,90.0,1.0,0,2000,3,1245
88,15950,19.0,51884.0,Petrol,97.0,1.0,0,1400,3,1100
89,21950,19.0,50005.0,Diesel,110.0,1.0,0,2000,3,1265
